taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1997,Glenn,6021,26900,9194,262306000,20035,55,4675,31977,52,6765000,39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
1997,Humboldt,6023,126100,45758,1588942000,22271,41,20147,39805,36,43795000,40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
1997,Imperial,6025,142700,45316,1195300000,16091,58,24151,22929,58,31218000,33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
1997,Inyo,6027,18300,7599,261680000,23927,32,3634,42672,28,7758000,36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
1997,Kern,6029,634400,197815,7418367000,22961,37,92614,41046,33,214175000,35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
1997,Kings,6031,117700,33080,983893000,20928,45,15396,36217,46,25201000,36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
1997,Lake,6033,55100,18453,542780000,21018,44,9011,33190,50,13763000,39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
1997,Lassen,6035,33850,9548,331173000,28995,11,5173,43794,25,8612000,40.43255922,-120.6495591,POINT (-120.6495591 40.43255922)
1997,Los Angeles,6037,9524600,3415391,1.51524E+11,23309,36,1230826,42629,29,6452790000,34.0594833,-118.242048,POINT (-118.242048 34.0594833)
1997,Madera,6039,113500,36784,1130253000,20091,54,17923,35760,47,31957000,37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
1997,Marin,6041,243300,119672,10310470000,37154,1,45340,80253,1,604571000,38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
1997,Mariposa,6043,15950,5922,186261000,22859,38,3013,36412,45,5033000,37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
1997,Mendocino,6045,86000,32909,1089639000,21931,42,14645,38094,41,35804000,39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
1997,Merced,6047,202000,62413,1836474000,20406,53,29478,34931,48,47240000,37.1324242,-120.7167521,POINT (-120.7167521 37.1324242)
1997,Modoc,6049,10150,2862,71374000,20771,48,1556,31856,53,1965000,41.71368177,-120.943072,POINT (-120.943072 41.71368177)
1997,Mono,6051,10500,4535,142953000,20884,46,1774,42255,30,4019000,38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
1997,Monterey,6053,377800,140060,5657108000,23585,33,57310,43016,26,213064000,36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
