fire_year,fips_code,fod_id
2013,6109,123
2013,6111,61
2013,6113,35
2013,6115,107
2014,6001,41
2014,6003,59
2014,6005,70
2014,6007,287
2014,6009,91
2014,6011,6
2014,6013,50
2014,6015,48
2014,6017,226
2014,6019,225
2014,6021,10
2014,6023,293
2014,6025,21
2014,6027,39
2014,6029,69
2014,6031,16
2014,6033,69
2014,6035,110
2014,6037,187
2014,6039,201
2014,6041,33
2014,6043,79
2014,6045,162
2014,6047,198
2014,6049,121
2014,6051,75
2014,6053,75
2014,6055,69
2014,6057,103
2014,6059,77
2014,6061,247
2014,6063,128
2014,6065,604
2014,6067,85
2014,6069,9
2014,6071,255
2014,6073,265
2014,6075,5
2014,6077,28
2014,6079,97
2014,6081,31
2014,6083,32
2014,6085,49
2014,6087,109
2014,6089,230
2014,6091,33
2014,6093,298
2014,6095,12
2014,6097,135
2014,6099,60
2014,6101,17
2014,6103,142
2014,6105,82
2014,6107,107
2014,6109,184
2014,6111,35
2014,6113,24
2014,6115,75
2015,6001,56
2015,6003,20
2015,6005,48
2015,6007,262
2015,6009,114
2015,6011,12
2015,6013,60
2015,6015,105
2015,6017,282
2015,6019,434
2015,6021,11
2015,6023,490
2015,6025,10
2015,6027,20
2015,6029,70
2015,6031,9
2015,6033,92
2015,6035,137
2015,6037,169
2015,6039,212
2015,6041,12
2015,6043,101
2015,6045,173
2015,6047,273
2015,6049,89
2015,6051,50
2015,6053,108
2015,6055,75
2015,6057,158
2015,6059,54
2015,6061,227
2015,6063,183
2015,6065,610
2015,6067,35
2015,6069,20
2015,6071,246
2015,6073,214
2015,6075,9
2015,6077,34
2015,6079,141
2015,6081,41
2015,6083,49
2015,6085,90
2015,6087,74
2015,6089,249
2015,6091,46
2015,6093,320
2015,6095,51
2015,6097,157
2015,6099,64
2015,6101,1
2015,6103,138
2015,6105,183
2015,6107,186
2015,6109,130
2015,6111,56
2015,6113,22
2015,6115,73
2016,6001,114
2016,6003,16
2016,6005,64
2016,6007,214
2016,6009,81
2016,6011,7
2016,6013,38
2016,6015,50
2016,6017,256
2016,6019,629
2016,6021,6
2016,6023,307
2016,6025,5
2016,6027,28
2016,6029,269
2016,6031,45
2016,6033,69
2016,6035,52
2016,6037,337
2016,6039,258
2016,6041,11
2016,6043,90
2016,6045,114
2016,6047,417
2016,6049,39
2016,6051,40
2016,6053,112
2016,6055,75
2016,6057,156
2016,6059,98
2016,6061,275
2016,6063,55
2016,6065,786
2016,6067,105
2016,6069,26
2016,6071,225
2016,6073,283
2016,6075,12
2016,6077,146
2016,6079,183
2016,6081,49
2016,6083,61
2016,6085,163
2016,6087,50
2016,6089,156
2016,6091,22
2016,6093,192
2016,6095,94
2016,6097,135
2016,6099,175
2016,6101,45
2016,6103,113
2016,6105,61
2016,6107,189
2016,6109,115
2016,6111,61
2016,6113,38
2016,6115,69
2017,6001,87
2017,6003,34
2017,6005,64
2017,6007,231
2017,6009,116
2017,6011,12
2017,6013,72
2017,6015,30
2017,6017,205
2017,6019,818
2017,6021,7
2017,6023,215
2017,6025,7
2017,6027,37
2017,6029,285
2017,6031,29
2017,6033,67
2017,6035,164
2017,6037,403
2017,6039,355
2017,6041,22
2017,6043,107
2017,6045,136
2017,6047,456
2017,6049,233
2017,6051,46
2017,6053,148
2017,6055,90
2017,6057,144
2017,6059,88
2017,6061,266
2017,6063,158
2017,6065,1148
2017,6067,101
2017,6069,27
2017,6071,296
2017,6073,374
2017,6075,25
2017,6077,98
2017,6079,214
2017,6081,56
2017,6083,84
2017,6085,152
2017,6087,67
2017,6089,186
2017,6091,40
2017,6093,348
2017,6095,78
2017,6097,132
2017,6099,109
2017,6101,53
2017,6103,133
2017,6105,130
2017,6107,195
2017,6109,150
2017,6111,79
2017,6113,55
2017,6115,73
2018,6001,227
2018,6003,23
2018,6005,60
2018,6007,224
2018,6009,116
2018,6011,9
2018,6013,305
2018,6015,47
2018,6017,233
2018,6019,752
2018,6021,6
2018,6023,241
2018,6025,9
2018,6027,36
2018,6029,260
2018,6031,6
2018,6033,61
2018,6035,85
2018,6037,286
2018,6039,322
2018,6041,10
2018,6043,82
2018,6045,143
2018,6047,411
2018,6049,91
2018,6051,67
2018,6053,154
2018,6055,85
2018,6057,149
2018,6059,121
2018,6061,314
2018,6063,70
2018,6065,1126
2018,6067,139
2018,6069,31
2018,6071,539
2018,6073,310
2018,6075,35
2018,6077,181
2018,6079,168
2018,6081,42
2018,6083,57
2018,6085,155
2018,6087,77
2018,6089,203
2018,6091,17
2018,6093,176
2018,6095,80
2018,6097,120
2018,6099,240
2018,6101,89
2018,6103,183
2018,6105,74
2018,6107,163
2018,6109,122
2018,6111,27
2018,6113,51
2018,6115,77
2019,6001,115
2019,6003,10
2019,6005,18
2019,6007,121
2019,6009,67
2019,6011,5
2019,6013,227
2019,6015,18
2019,6017,204
